code,rdkit_smiles
095,O=C(OC1CCOCC1)C1CC2(CN1)C(=O)Nc1ccccc12
096,COc1cc(c(cc1O)CCCN1CCN(C)CC1)C1SCC(=O)N1c1cccnc1
097,CNC(=O)C(NC(=O)C(CC(C)C)C(O)C(=O)NO)C(C)(C)C
098,O=C(NC1c2ccccc2CC1O)C(Cc1cccc(O)c1)C(NCC1CC1)C(=O)NO
099,O=C(CC(Cc1cccc(O)c1)C(=O)NC1c2ccccc2CC1O)NO
09A,O=C(OCc1ccccc1)C1CC2(CN1)C(=O)Nc1ccccc12
09B,N#Cc1ccc(cc1)COC(=O)C1CC2(CN1)C(=O)Nc1ccccc12
09C,O=C1NCC(NC1c1c[nH]c2cc(Br)ccc12)c1c[nH]c2cc(Br)ccc12
09D,O=C(OC1CCSc2ccc(Br)cc21)C1CC2(CN1)C(=O)Nc1ccccc12
09E,O=C(OC1CCS(=O)(=O)c2ccc(Br)cc21)C1CC2(CN1)C(=O)Nc1ccccc12
09F,N#CC1(CCCCC1)OC(=O)C1CC2(CN1)C(=O)Nc1ccccc12
09G,N#Cc1ccc(cc1Br)COC(=O)C1CC2(CN1)C(=O)Nc1ccccc12
09H,O=C(Nc1ccccc1N1CCNCC1)c1csc(n1)c1ccc2OCCc2c1
09J,CCN1C(=O)C(=Cc2nnc(c3c(F)cccc3Cl)n21)c1cc(ccc1C)C(=O)NC1CC1
09K,O=C(Cc1ccc(cc1)OC(F)(F)F)Nc1cc(n[nH]1)C1CC1
09L,O=C1NN=C(Cc2ccc(F)c(c2)C(=O)N2CCN(CC2)C(=O)C2CC2)c2ccccc21
09M,Cc1ncc(COP(=O)(O)O)c(CNC2=Cc3ccccc3N(O)C2=O)c1O
09N,CCCCCC=CCC=CCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC
09O,c1cncc(c1)N1CCCNCC1
09P,CCOc1cncc(c1)N1CCCNCC1
09Q,c1ccc(cc1)c1cncc(c1)N1CCCNCC1
09R,Brc1ccc(cn1)N1CCCNCC1
09S,CCOc1cc(cnc1Br)N1CCCNCC1
09T,Cc1cc2ncn(Cc3ccc(Cl)c(Cl)c3)c2cc1C
09U,COCC1CC1
09V,OCC1CC1
09Z,CC(C)Nc1nc(N)c(s1)C(=O)c1cccnc1
0A,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
0A0,CC(N)(CC(=O)O)C(=O)O
0A1,COc1ccc(cc1)CC(N)C(=O)O
0A2,CCO[B-](O)(OCC)C(N)CCCCN
0A3,CON=C(C(=O)NC(C(=O)O)C1NC(C(=O)O)=C(C)CS1)c1csc(N)n1
0A4,C=C1CSC(N=C1C(=O)O)C(NC(=O)Cc1cccs1)C(=O)O
0A5,O=C(O)CCCBr
0A6,CCOC(=O)C(O)CC(=O)O
0A7,O=C(O)Cc1ccccc1C(=O)O
0A8,NC(CSC(=O)NCCCl)C(=O)O
0A9,COC(=O)C(N)Cc1ccccc1
0AA,COC(=O)C(N)C(C)C
0AB,CC1C=COC(=O)C1N
0AC,NC(Cc1ccccc1)C(O)CCC(=O)O
0AD,CCCNC1=Nc2c(ncn2C2CC(O)C(COP(=O)(O)O)O2)C(=O)N1
0AF,NC(Cc1c[nH]c2c(O)cccc12)C(=O)O
0AG,CCOC(=O)NC(CC(C)C)C(=O)O
0AH,NC(COC(=O)CBr)C(=O)O
0AI,COC1OC(C(=O)O)C(O)C(O)C1NC(C)=O
0AJ,CCSC(C)SC
0AK,NC(CC(=O)OCCCl)C(=O)O
0AL,O=P(O)(O)OC1C(O)C(O)C(O)OC1C(O)CO
0AM,CCCSSCCCNc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1
0AO,NC(C=O)Cc1cccc2ccccc12
0AP,NC1C=CN(C(=O)N=1)C1CC(OP(=O)(O)O)C(COP(=O)(O)O)O1
